实验编号,序号,作物名称,种质名称,科名,属名,种名或亚种名,原产地,原产省,原产国,来源地,资源类型,主要特性,生育周期,系谱,选育单位,育成年份,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,图像,抗旱性鉴定结果,保存单位,库编号,圃编号,引种号,采集号,保存资源类型,保存方式,实物状态,共享方式,获取途径,联系方式
446,YAAS0296,水稻,米卯谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),龙陵县,云南,中国,云南昆明,地方品种,,1年生,,,,1539, 9841,2436,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,104(032)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
447,YAAS0297,水稻,细灰谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),龙陵县,云南,中国,云南昆明,地方品种,,1年生,,,,1539, 9841,2436,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,104(112)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
448,YAAS0298,水稻,麻线谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,105(013)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
449,YAAS0299,水稻,金星糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),龙陵县,云南,中国,云南昆明,地方品种,,1年生,,,,1539, 9841,2436,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,104(079)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
450,YAAS0300,水稻,牛场谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),龙陵县,云南,中国,云南昆明,地方品种,,1年生,,,,1539, 9841,2436,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,104(093)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
451,YAAS0301,水稻,九脚糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),龙陵县,云南,中国,云南昆明,地方品种,,1年生,,,,1539, 9841,2436,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,104(075)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
452,YAAS0302,水稻,陇川白,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,105(050)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
453,YAAS0303,水稻,红麻线谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,105(048)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
454,YAAS0304,水稻,红背糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,105(123)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
455,YAAS0305,水稻,小红米,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),易门县,云南,中国,云南昆明,地方品种,,1年生,,,,1602,10210,2444,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,115(001)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
456,YAAS0306,水稻,洛格,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),绿春县,云南,中国,云南昆明,地方品种,,1年生,,,,1620,10224,2300,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,050(058)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
457,YAAS0307,水稻,长芒谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),易门县,云南,中国,云南昆明,地方品种,,1年生,,,,1602,10210,2444,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,115(031)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
458,YAAS0308,水稻,小白米,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),易门县,云南,中国,云南昆明,地方品种,,1年生,,,,1602,10210,2444,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,115(021)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
459,YAAS0309,水稻,白节子千千谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),盐津县,云南,中国,云南昆明,地方品种,,1年生,,,, 465,10414,2804,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,120(009)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
460,YAAS0310,水稻,白壳红米,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),易门县,云南,中国,云南昆明,地方品种,,1年生,,,,1602,10210,2444,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,115(020)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
461,YAAS0311,水稻,李自红,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),易门县,云南,中国,云南昆明,地方品种,,1年生,,,,1602,10210,2444,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,115(006)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
462,YAAS0312,水稻,双耳朵红谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),建水县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10249,2337,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,051(004)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
463,YAAS0313,水稻,扎罗普(1),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,002(100)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
464,YAAS0314,水稻,早红谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,002(058)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
465,YAAS0315,水稻,大黑谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(114)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
468,YAAS0316,水稻,广场十三,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,003(203)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
469,YAAS0317,水稻,长毛谷(一),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,003(028)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
470,YAAS0318,水稻,灰皮紫糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,012(018)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
471,YAAS0319,水稻,毫好早(3),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,002(123)-2-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
472,YAAS0320,水稻,黄皮谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,003(127)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
473,YAAS0321,水稻,冷水谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(152)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
474,YAAS0322,水稻,拉木加,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),西盟县,云南,中国,云南昆明,地方品种,,1年生,,,,1940, 9927,2244,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,004(015)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
475,YAAS0323,水稻,大黄糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),普洱县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10117,2302,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,006(074)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
476,YAAS0324,水稻,毫闷(二),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,002(003)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
478,YAAS0325,水稻,毫秕,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,002(025)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
480,YAAS0326,水稻,夕黄谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),普洱县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10117,2302,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,006(097)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
481,YAAS0327,水稻,帕盆,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,002(015)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
482,YAAS0328,水稻,齐头谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),澜沧县,云南,中国,云南昆明,地方品种,,1年生,,,,1035, 9955,2233,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,003(148)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
483,YAAS0329,水稻,香糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,002(036)-2-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
484,YAAS0330,水稻,细花谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),普洱县,云南,中国,云南昆明,地方品种,,1年生,,,,1320,10117,2302,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,006(104)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
487,YAAS0331,水稻,雾露谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,001(025)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
489,YAAS0332,水稻,污咀谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),绿春县,云南,中国,云南昆明,地方品种,,1年生,,,,1620,10224,2300,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,050(011)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
490,YAAS0333,水稻,大黄壳谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),绿春县,云南,中国,云南昆明,地方品种,,1年生,,,,1620,10224,2300,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,050(015)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
493,YAAS0334,水稻,鸟咀罗平(二),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(092)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
494,YAAS0335,水稻,老来红,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,014(254)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
495,YAAS0336,水稻,高原粳7号,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),永胜县,云南,中国,云南昆明,地方品种,,1年生,,,,2132,10045,2641,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,131(009)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
496,YAAS0337,水稻,红毛羊谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),永胜县,云南,中国,云南昆明,地方品种,,1年生,,,,2132,10045,2641,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,131(005)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
498,YAAS0338,水稻,建南谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),永善县,云南,中国,云南昆明,地方品种,,1年生,,,, 810,10338,2814,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,119(004)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
499,YAAS0339,水稻,毫卡,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),勐海县,云南,中国,云南昆明,地方品种,,1年生,,,,1188,10025,2155,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,014(303)-4-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
500,YAAS0340,水稻,二黄谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),东川区,云南,中国,云南昆明,地方品种,,1年生,,,,1272,10310,2606,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,059(008)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
501,YAAS0341,水稻,南高谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),临翔区,云南,中国,云南昆明,地方品种,,1年生,,,,1485,10005,2353,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,023(044)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
502,YAAS0342,水稻,大玉谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),永德县,云南,中国,云南昆明,地方品种,,1年生,,,,1580, 9915,2402,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,024(033)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
503,YAAS0343,水稻,麻线谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),永德县,云南,中国,云南昆明,地方品种,,1年生,,,,1580, 9915,2402,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,024(044)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
504,YAAS0344,水稻,冷水白谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),永德县,云南,中国,云南昆明,地方品种,,1年生,,,,1580, 9915,2402,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,024(085)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
507,YAAS0345,水稻,冷水谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(196)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
509,YAAS0346,水稻,老楞谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),临翔区,云南,中国,云南昆明,地方品种,,1年生,,,,1485,10005,2353,云南元江,砂壤,,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,023(025)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
510,YAAS0347,水稻,长毛谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),景洪县,云南,中国,云南昆明,地方品种,,1年生,,,, 551,10048,2200,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,012(085)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
577,YAAS0348,水稻,井谷(检谷),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,001(156)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
731,YAAS0349,水稻,大白谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),巧家县,云南,中国,云南昆明,地方品种,,1年生,,,, 880,10255,2655,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,126(012)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
733,YAAS0350,水稻,大南粘,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),大关县,云南,中国,云南昆明,地方品种,,1年生,,,,1108,10353,2745,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,121(030)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
734,YAAS0351,水稻,大吊谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),巧家县,云南,中国,云南昆明,地方品种,,1年生,,,, 880,10255,2655,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,126(008)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
735,YAAS0352,水稻,香吊,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),富民县,云南,中国,云南昆明,地方品种,,1年生,,,,1684,10230,2513,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,055(014)-3-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
736,YAAS0353,水稻,一片粘,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),盐津县,云南,中国,云南昆明,地方品种,,1年生,,,, 465,10414,2804,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,120(026)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
738,YAAS0354,水稻,黄脚糯早谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),镇雄县,云南,中国,云南昆明,地方品种,,1年生,,,,1692,10452,2727,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,124(027)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
739,YAAS0355,水稻,酒糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,105(070)-1-1/2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
740,YAAS0356,水稻,红酒谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),盐津县,云南,中国,云南昆明,地方品种,,1年生,,,, 465,10414,2804,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,120(013)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
741,YAAS0357,水稻,广西早,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),盐津县,云南,中国,云南昆明,地方品种,,1年生,,,, 465,10414,2804,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,120(035)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
742,YAAS0358,水稻,麻粘,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),大关县,云南,中国,云南昆明,地方品种,,1年生,,,,1108,10353,2745,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,121(045)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
743,YAAS0359,水稻,瘦田谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),大关县,云南,中国,云南昆明,地方品种,,1年生,,,,1108,10353,2745,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,121(032)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
744,YAAS0360,水稻,大谷糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,105(137)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
746,YAAS0361,水稻,小禄糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),腾冲县,云南,中国,云南昆明,地方品种,,1年生,,,,1638, 9830,2501,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,105(177)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
747,YAAS0362,水稻,大南粘,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),大关县,云南,中国,云南昆明,地方品种,,1年生,,,,1108,10353,2745,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,121(022)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
