ID,作物名称,种质名称,抗旱指数,抗旱指数抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价抗旱性,抗旱性综合评价,抗旱系数,旱处理产量,对照产量,旱处理株高cm,对照株高cm,旱处理分枝数,对照分枝数,旱处理主花序长cm,对照主花序长cm,旱处理主花序有效角果数,对照主花序有效角果数,旱处理全株有效角果数,对照全株有效角果数,旱处理主茎角果密度个/cm,对照主茎角果密度个/cm,旱处理角粒数,对照角粒数,旱处理千粒重g,对照千粒重g,处理主根长cm,对照主根长cm,处理侧根数,对照侧根数,处理植株总鲜重g,对照植株总鲜重g,处理根鲜重g,对照根鲜重g,处理地上部分鲜重g,对照地上部分鲜重g,处理根冠比,对照根冠比,备注,干旱处理时期,鉴定时间
YAAS0798,油菜,KH575,0.39 ,HS,0.55,HR,HS,0.53 ,83.38 ,157.14 ,130.80 ,147.00 ,,,,,,,204.40 ,264.00 ,,,18.30 ,24.30 ,3.90 ,4.00 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量112mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0799,油菜,KH582,1.32 ,HR,0.21,HS,MR,0.98 ,153.94 ,157.14 ,142.40 ,149.20 ,,,,,,,224.40 ,297.00 ,,,19.10 ,23.00 ,3.61 ,3.64 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量113mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0800,油菜,KH586,1.27 ,HR,0.17,HS,MR,0.91 ,160.35 ,176.39 ,135.60 ,136.60 ,,,,,,,117.00 ,280.20 ,,,19.20 ,25.50 ,3.71 ,3.76 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量114mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0801,油菜,KH587,0.93 ,MR,0.34,S,MR,0.97 ,109.04 ,112.25 ,111.00 ,137.20 ,,,,,,,143.80 ,232.40 ,,,20.70 ,21.70 ,3.48 ,3.52 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量115mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0802,油菜,KH591,0.93 ,R,0.23,S,MR,0.83 ,128.28 ,153.94 ,114.00 ,150.60 ,,,,,,,166.00 ,244.00 ,,,19.10 ,27.10 ,3.54 ,3.59 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量116mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0803,油菜,KH596,0.55 ,HS,0.36,MR,MR,0.70 ,89.80 ,128.28 ,121.20 ,137.60 ,,,,,,,182.40 ,458.60 ,,,17.40 ,23.60 ,4.08 ,4.20 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量117mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0804,油菜,KH598,1.04 ,R,0.5,R,R,0.85 ,141.11 ,166.76 ,106.20 ,122.00 ,,,,,,,174.40 ,286.20 ,,,17.90 ,21.80 ,3.90 ,4.03 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量118mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0805,油菜,KH599,0.92 ,MR,0.22,HS,S,0.86 ,121.87 ,141.11 ,94.40 ,109.00 ,,,,,,,216.40 ,276.80 ,,,18.40 ,20.30 ,3.50 ,3.54 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量119mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0806,油菜,KH600,0.88 ,MR,0.25,S,S,0.83 ,121.87 ,147.52 ,93.20 ,105.20 ,,,,,,,194.60 ,271.20 ,,,10.90 ,18.40 ,3.95 ,4.09 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量120mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0807,油菜,花油4号,0.52 ,HS,0.57,HR,R,0.85 ,70.55 ,83.38 ,100.80 ,112.00 ,,,,,,,94.00 ,273.20 ,,,22.00 ,25.30 ,2.99 ,3.43 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量121mm,大田鉴定，全生育期不灌溉",2009.9-2010.4
YAAS0808,油菜,2007M001,0.76 ,MR,0.25 ,S,MR,0.73 ,23.60 ,32.53 ,148.33 ,179.67 ,6.67 ,6.33 ,,,,,177.60 ,266.00 ,,,18.35 ,23.11 ,3.71 ,3.86 ,,,,,,,,,,,,,产量为折合亩产kg，隶属函数法鉴定,"全生育降雨量177.7mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0809,油菜,2007M002,1.02 ,MR,0.22 ,HS,S,0.82 ,27.92 ,34.24 ,147.67 ,192.00 ,5.00 ,5.00 ,,,,,415.33 ,541.00 ,,,15.42 ,17.07 ,3.68 ,3.52 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.8mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0810,油菜,2007M003,0.81 ,MR,0.21 ,HS,S,0.73 ,24.59 ,33.47 ,177.00 ,176.67 ,4.33 ,7.00 ,,,,,388.67 ,355.33 ,,,18.19 ,21.15 ,3.95 ,4.56 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.9mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0811,油菜,2007M004,1.72 ,HR,0.41 ,R,HR,1.40 ,27.53 ,19.68 ,177.67 ,172.00 ,7.67 ,7.00 ,,,,,320.67 ,397.33 ,,,22.61 ,24.61 ,3.39 ,3.42 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.10mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0812,油菜,2007M005,0.37 ,HS,0.20 ,HS,HS,0.53 ,15.79 ,29.71 ,179.33 ,175.67 ,5.67 ,6.33 ,,,,,629.00 ,455.33 ,,,17.13 ,18.65 ,2.56 ,2.32 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.11mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0813,油菜,2007M006,2.17 ,HR,0.54 ,HR,HR,1.65 ,29.55 ,17.95 ,200.67 ,184.33 ,9.00 ,7.00 ,,,,,354.33 ,515.33 ,,,14.28 ,18.11 ,3.12 ,3.18 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.12mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0814,油菜,2007M007,1.30 ,R,0.30 ,MR,R,0.99 ,29.42 ,29.73 ,153.67 ,167.33 ,6.00 ,5.33 ,,,,,595.67 ,348.33 ,,,15.64 ,16.55 ,3.17 ,3.11 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.13mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0815,油菜,2007M008,1.61 ,HR,0.35 ,R,HR,1.32 ,27.30 ,20.67 ,191.33 ,172.67 ,5.33 ,5.67 ,,,,,406.00 ,406.00 ,,,21.23 ,22.93 ,3.41 ,3.19 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.14mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0816,油菜,2007M009,1.47 ,R,0.50 ,HR,R,1.37 ,24.14 ,17.66 ,216.67 ,172.00 ,7.67 ,5.33 ,,,,,354.00 ,398.00 ,,,21.28 ,13.60 ,3.62 ,3.82 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.15mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0817,油菜,2007M010,1.22 ,R,0.29 ,MR,R,0.96 ,28.62 ,29.89 ,179.33 ,156.33 ,6.00 ,8.33 ,,,,,251.33 ,212.33 ,,,30.15 ,24.10 ,3.19 ,3.45 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.16mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0818,油菜,2007M011,0.95 ,MR,0.52 ,HR,R,1.21 ,17.58 ,14.53 ,205.00 ,169.00 ,9.33 ,6.33 ,,,,,332.00 ,331.00 ,,,23.28 ,21.88 ,3.70 ,4.13 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.17mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0819,油菜,2007M012,1.08 ,MR,0.36 ,R,R,1.05 ,23.03 ,21.91 ,173.67 ,137.00 ,4.67 ,3.00 ,,,,,452.33 ,212.33 ,,,14.65 ,21.04 ,2.65 ,3.25 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.18mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0820,油菜,2007M013,1.47 ,R,0.43 ,HR,R,1.11 ,29.75 ,26.79 ,159.00 ,148.33 ,8.67 ,8.33 ,,,,,342.67 ,302.67 ,,,15.67 ,17.11 ,4.29 ,4.23 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.19mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0821,油菜,2007M014,0.82 ,MR,0.26 ,S,S,0.90 ,20.46 ,22.66 ,175.67 ,170.00 ,5.67 ,5.33 ,,,,,321.00 ,286.67 ,,,18.41 ,22.92 ,5.03 ,4.08 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.20mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0822,油菜,2007M015,0.60 ,S,0.31 ,MR,S,0.84 ,15.87 ,18.83 ,178.33 ,149.67 ,6.67 ,5.33 ,,,,,422.33 ,522.33 ,,,15.83 ,9.52 ,3.06 ,4.55 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.21mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0823,油菜,2007M016,2.05 ,HR,0.45 ,HR,HR,1.31 ,35.10 ,26.77 ,192.67 ,161.67 ,6.67 ,4.67 ,,,,,398.67 ,314.33 ,,,13.19 ,16.94 ,3.02 ,3.55 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.22mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0824,油菜,2007M017,1.70 ,HR,0.37 ,R,HR,1.25 ,30.43 ,24.28 ,180.00 ,153.00 ,5.67 ,5.33 ,,,,,523.67 ,463.33 ,,,19.91 ,14.58 ,3.37 ,3.96 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.23mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0825,油菜,2007M018,1.97 ,HR,0.41 ,R,HR,1.49 ,29.52 ,19.78 ,181.00 ,162.33 ,5.67 ,4.67 ,,,,,452.67 ,365.00 ,,,17.98 ,17.81 ,3.74 ,3.73 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.24mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0826,油菜,2007M019,1.25 ,R,0.42 ,HR,R,1.20 ,23.39 ,19.56 ,187.67 ,180.00 ,9.33 ,7.67 ,,,,,410.33 ,305.33 ,,,16.24 ,16.28 ,4.43 ,3.98 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.25mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0827,油菜,2007M020,0.36 ,HS,0.25 ,S,S,0.55 ,14.54 ,26.26 ,161.67 ,159.00 ,7.00 ,5.00 ,,,,,364.67 ,236.00 ,,,19.35 ,26.06 ,3.32 ,3.18 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.26mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0828,油菜,2007M021,1.72 ,HR,0.31 ,MR,HR,0.86 ,44.70 ,51.76 ,153.67 ,163.33 ,5.67 ,6.33 ,,,,,296.33 ,331.33 ,,,18.95 ,22.18 ,2.59 ,3.57 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.27mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0829,油菜,2007M022,0.88 ,MR,0.27 ,S,S,0.77 ,25.61 ,33.34 ,189.33 ,161.67 ,4.33 ,6.00 ,,,,,411.67 ,487.33 ,,,30.17 ,33.98 ,3.60 ,3.13 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.28mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0830,油菜,2007M023,2.81 ,HR,0.47 ,HR,HR,2.22 ,28.35 ,12.77 ,179.67 ,151.33 ,8.67 ,8.67 ,,,,,332.33 ,334.67 ,,,20.65 ,28.07 ,3.73 ,3.55 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.29mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0831,油菜,2007M024,1.69 ,HR,0.47 ,HR,HR,2.70 ,13.98 ,5.17 ,170.67 ,142.33 ,6.67 ,5.00 ,,,,,391.67 ,293.67 ,,,20.48 ,11.06 ,3.53 ,3.93 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.30mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0832,油菜,2007M025,1.93 ,HR,0.47 ,HR,HR,1.80 ,24.02 ,13.34 ,200.33 ,143.67 ,7.00 ,7.67 ,,,,,231.33 ,263.67 ,,,15.75 ,7.11 ,3.84 ,2.76 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.31mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0833,油菜,2007M026,1.48 ,R,0.49 ,HR,R,1.53 ,21.74 ,14.21 ,203.33 ,109.33 ,8.00 ,8.67 ,,,,,462.00 ,326.00 ,,,12.11 ,11.03 ,4.29 ,3.71 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.32mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0834,油菜,2007M027,1.02 ,MR,0.41 ,R,MR,0.96 ,23.76 ,24.63 ,196.67 ,189.33 ,5.67 ,4.33 ,,,,,369.00 ,230.00 ,,,15.65 ,12.23 ,3.77 ,5.06 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.33mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0835,油菜,2007M028,2.53 ,HR,0.46 ,HR,HR,1.42 ,39.99 ,28.17 ,181.00 ,174.33 ,6.33 ,5.00 ,,,,,254.67 ,265.67 ,,,17.21 ,20.61 ,5.42 ,4.50 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.34mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0836,油菜,2007M029,1.30 ,R,0.33 ,MR,MR,1.26 ,23.20 ,18.45 ,169.33 ,166.67 ,7.00 ,7.33 ,,,,,438.00 ,525.33 ,,,27.25 ,13.98 ,3.35 ,3.84 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.35mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0837,油菜,2007M030,0.43 ,HS,0.21 ,HS,HS,0.67 ,14.44 ,21.41 ,174.00 ,170.00 ,5.33 ,5.33 ,,,,,359.33 ,324.67 ,,,18.68 ,19.46 ,3.46 ,2.92 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.36mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0838,油菜,2007M031,0.46 ,HS,0.24 ,HS,HS,0.69 ,15.05 ,21.75 ,180.33 ,156.67 ,6.33 ,9.67 ,,,,,233.33 ,283.00 ,,,18.76 ,18.81 ,3.30 ,4.02 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.37mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0839,油菜,2007M032,0.43 ,HS,0.25 ,S,S,0.71 ,13.72 ,19.37 ,181.00 ,147.67 ,7.33 ,8.33 ,,,,,253.00 ,328.00 ,,,13.83 ,15.00 ,4.30 ,4.42 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.38mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0840,油菜,2007M033,0.49 ,S,0.27 ,S,S,0.83 ,13.13 ,15.81 ,191.00 ,174.33 ,6.33 ,6.67 ,,,,,342.00 ,319.00 ,,,14.81 ,18.06 ,2.71 ,3.36 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.39mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0841,油菜,2007M034,1.04 ,MR,0.38 ,R,MR,0.93 ,24.86 ,26.60 ,186.33 ,165.00 ,6.67 ,5.67 ,,,,,205.00 ,209.33 ,,,14.89 ,15.21 ,4.30 ,4.97 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.40mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0842,油菜,2007M035,0.39 ,HS,0.28 ,MR,S,0.72 ,12.07 ,16.81 ,179.00 ,171.00 ,7.33 ,6.67 ,,,,,232.67 ,284.67 ,,,27.43 ,22.01 ,3.90 ,4.24 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.41mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0843,油菜,2007M036,0.39 ,HS,0.31 ,MR,S,0.67 ,13.15 ,19.57 ,195.67 ,188.33 ,6.67 ,7.67 ,,,,,323.33 ,325.00 ,,,9.83 ,12.71 ,3.80 ,4.07 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.42mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0844,油菜,2007M037,0.69 ,S,0.35 ,R,S,0.73 ,21.36 ,29.36 ,183.00 ,124.33 ,6.00 ,5.00 ,,,,,289.33 ,434.00 ,,,9.64 ,11.65 ,4.72 ,3.87 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.43mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0845,油菜,2007M038,0.83 ,MR,0.38 ,R,MR,0.84 ,22.15 ,26.50 ,196.67 ,189.33 ,7.67 ,6.33 ,,,,,247.33 ,248.67 ,,,23.92 ,25.08 ,3.61 ,4.71 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.44mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0846,油菜,2007M039,0.64 ,S,0.23 ,HS,S,0.97 ,14.94 ,15.48 ,168.67 ,152.67 ,5.67 ,7.00 ,,,,,248.67 ,311.33 ,,,21.61 ,21.45 ,4.12 ,3.97 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.45mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0847,油菜,2007M040,1.15 ,R,0.36 ,R,R,1.01 ,25.53 ,25.29 ,171.67 ,179.33 ,10.30 ,10.30 ,,,,,269.00 ,319.33 ,,,17.87 ,15.04 ,3.11 ,3.22 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.46mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0848,油菜,2007M041,1.22 ,R,0.32 ,MR,MR,1.20 ,22.91 ,19.13 ,188.00 ,169.00 ,6.67 ,9.33 ,,,,,341.67 ,356.67 ,,,22.72 ,18.38 ,3.30 ,3.86 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.47mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0849,油菜,2007M042,1.20 ,R,0.30 ,MR,MR,1.02 ,26.40 ,25.95 ,176.33 ,168.00 ,5.67 ,5.33 ,,,,,301.33 ,333.00 ,,,19.97 ,15.41 ,3.81 ,3.73 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.48mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0850,油菜,2007M043,0.54 ,S,0.25 ,S,S,0.76 ,16.05 ,21.22 ,180.00 ,157.67 ,6.00 ,7.00 ,,,,,340.00 ,327.67 ,,,22.36 ,19.90 ,3.47 ,3.98 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.49mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0851,油菜,2007M044,0.94 ,MR,0.39 ,R,MR,1.23 ,17.09 ,13.86 ,185.33 ,166.67 ,6.33 ,6.00 ,,,,,377.33 ,352.67 ,,,13.66 ,18.67 ,3.11 ,3.22 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.50mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0852,油菜,2007M045,0.68 ,S,0.22 ,HS,S,0.78 ,19.73 ,25.36 ,168.00 ,159.00 ,5.00 ,6.33 ,,,,,205.67 ,267.33 ,,,24.15 ,11.26 ,3.44 ,4.60 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.51mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0853,油菜,2007M046,1.55 ,R,0.37 ,R,R,1.29 ,26.92 ,20.82 ,178.33 ,167.00 ,5.33 ,4.00 ,,,,,265.00 ,304.00 ,,,21.10 ,23.03 ,3.53 ,3.62 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.52mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0854,油菜,2007M047,0.55 ,S,0.26 ,S,S,1.10 ,11.34 ,10.35 ,184.67 ,153.67 ,4.67 ,5.67 ,,,,,366.67 ,376.00 ,,,19.45 ,15.76 ,3.78 ,3.51 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.53mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0855,油菜,2007M048,0.48 ,HS,0.27 ,S,HS,0.55 ,19.75 ,36.21 ,159.33 ,168.67 ,6.33 ,7.00 ,,,,,220.00 ,253.00 ,,,21.88 ,12.11 ,2.36 ,3.38 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.54mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0856,油菜,2007M049,0.47 ,HS,0.20 ,HS,HS,0.62 ,17.02 ,27.41 ,159.67 ,167.00 ,5.33 ,6.00 ,,,,,224.33 ,483.00 ,,,22.54 ,22.26 ,3.91 ,3.37 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.55mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0857,油菜,2007M050,0.19 ,HS,0.16 ,HS,HS,0.36 ,12.01 ,33.29 ,176.00 ,165.67 ,5.33 ,7.33 ,,,,,240.67 ,342.33 ,,,18.99 ,19.51 ,3.73 ,4.10 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.56mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0858,油菜,2007M051,2.75 ,HR,0.44 ,HR,HR,2.17 ,28.48 ,13.15 ,170.67 ,159.00 ,6.67 ,5.33 ,,,,,270.33 ,406.33 ,,,12.48 ,21.27 ,3.56 ,3.85 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.57mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0859,油菜,2007M052,0.45 ,HS,0.26 ,S,HS,0.66 ,15.14 ,22.89 ,190.33 ,167.00 ,5.33 ,5.33 ,,,,,415.00 ,328.67 ,,,21.32 ,14.49 ,3.22 ,2.76 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.58mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0860,油菜,2007M053,1.14 ,R,0.34 ,R,R,0.87 ,29.44 ,33.79 ,170.67 ,170.33 ,6.33 ,4.67 ,,,,,263.33 ,238.67 ,,,12.28 ,16.38 ,4.68 ,5.86 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.59mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0861,油菜,2007M054,0.66 ,S,0.25 ,S,S,0.74 ,19.75 ,26.53 ,155.00 ,147.33 ,6.33 ,8.33 ,,,,,409.33 ,355.00 ,,,19.11 ,23.79 ,3.76 ,4.00 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.60mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0862,油菜,2007M055,1.28 ,R,0.33 ,MR,MR,1.10 ,25.88 ,23.43 ,154.00 ,143.00 ,6.00 ,7.00 ,,,,,251.00 ,400.33 ,,,21.09 ,16.18 ,3.73 ,4.10 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.61mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0863,油菜,2007M056,0.49 ,S,0.28 ,MR,S,0.64 ,16.97 ,26.37 ,181.67 ,178.00 ,8.00 ,9.00 ,,,,,305.00 ,379.33 ,,,21.12 ,19.66 ,4.02 ,3.14 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.62mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0864,油菜,2007M057,0.60 ,S,0.27 ,S,S,0.69 ,19.49 ,28.43 ,177.33 ,184.67 ,6.00 ,6.33 ,,,,,278.67 ,542.00 ,,,16.95 ,13.01 ,3.59 ,3.74 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.63mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0865,油菜,2007M058,0.57 ,S,0.33 ,MR,S,0.58 ,22.00 ,37.64 ,187.00 ,194.33 ,11.00 ,10.30 ,,,,,234.00 ,312.33 ,,,19.60 ,21.79 ,4.25 ,4.18 ,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定,"全生育降雨量177.64mm,大田鉴定，全生育期不灌溉",2010.9-2011.4
YAAS0866,油菜,2011H1,10.24 ,HR,0.70 ,HR,HR,1.93 ,52.00 ,27.00 ,149.00 ,205.00 ,9.00 ,6.00 ,,,,,,,,,,,,,14.00 ,15.00 ,9.00 ,6.00 ,663.00 ,640.00 ,40.00 ,49.00 ,623.00 ,591.00 ,0.06 ,0.08 ,产量为单株产量g，隶属函数法鉴定,抗旱棚内全生育期轻度干旱,2011.9-2013.4
YAAS0867,油菜,2011H2,1.62 ,HR,0.63 ,HR,HR,0.51 ,32.00 ,63.00 ,174.00 ,230.00 ,9.00 ,9.00 ,,,,,,,,,18.78 ,,,,16.00 ,18.00 ,4.00 ,7.00 ,329.00 ,921.00 ,29.00 ,68.00 ,301.00 ,853.00 ,0.09 ,0.08 ,产量为单株产量g，隶属函数法鉴定,抗旱棚内全生育期轻度干旱,2011.9-2013.4
YAAS0868,油菜,2011H3,3.05 ,HR,0.71 ,HR,HR,0.78 ,39.00 ,50.00 ,171.00 ,188.00 ,9.00 ,10.00 ,,,,,,,,,,,,,22.00 ,17.00 ,6.00 ,4.00 ,339.00 ,567.00 ,33.00 ,46.00 ,307.00 ,521.00 ,0.11 ,0.09 ,产量为单株产量g，隶属函数法鉴定,抗旱棚内全生育期轻度干旱,2011.9-2013.4
